81,51,17,9,12,10,6,9,4,5,5,5,7,2,4,3,3,4,6,4,2,3,1,0,0
15,12,5,4,1,2,1,4,3,1,2,3,2,2,1,1,0,1,0,0,0,1,2,1,0
15,7,4,2,3,2,1,1,2,1,1,2,1,1,1,1,0,0,0,0,1,1,0,0,0
13,7,3,2,0,2,0,2,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1
6,3,1,2,0,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
6,3,0,1,1,1,0,1,2,2,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0
7,3,1,0,1,0,1,2,2,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0
3,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,3,1,2,1,0,1,1,2,1,1,1,2,1,1,0,1,1,1,0,0,1,0,0,0
5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
4,2,1,1,0,0,1,1,1,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,1,2,2,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
3,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
